#,Layer,Category,Data Point,Description,Source,Verified
1,Infrastructure Intel,WHOIS / RDAP,createdDate,Domain registration date (ISO),whoisScraper.js,
2,Infrastructure Intel,WHOIS / RDAP,expiresDate,Domain expiry date (ISO),whoisScraper.js,
3,Infrastructure Intel,WHOIS / RDAP,registrar,Registrar organization name,whoisScraper.js,
4,Infrastructure Intel,WHOIS / RDAP,registrantOrg,Registrant organization (often privacy-masked),whoisScraper.js,
5,Infrastructure Intel,WHOIS / RDAP,domainStatus,ICANN/EPP status codes (array),whoisScraper.js,
6,Infrastructure Intel,WHOIS / RDAP,ageInDays,Days since registration (computed from createdDate),whoisScraper.js,
7,Infrastructure Intel,TLS,usesHttps,Whether URL uses HTTPS,tlsScraper.js,
8,Infrastructure Intel,TLS,authorized,Whether certificate chain is trusted by Node,tlsScraper.js,
9,Infrastructure Intel,TLS,error,TLS/auth error message if any,tlsScraper.js,
10,Infrastructure Intel,TLS,subjectCN,Certificate subject Common Name,tlsScraper.js,
11,Infrastructure Intel,TLS,issuerOrg,Certificate issuer organization,tlsScraper.js,
12,Infrastructure Intel,TLS,issuerLevel,Certificate validation level (EV/OV/DV/unknown),tlsScraper.js,
13,Infrastructure Intel,TLS,validTo,Certificate expiry date,tlsScraper.js,
14,Infrastructure Intel,TLS,isExpired,Whether certificate is expired,tlsScraper.js,
15,Infrastructure Intel,TLS,hostnameMismatch,Whether hostname does not match cert SAN/CN,tlsScraper.js,
16,Infrastructure Intel,DNS,aRecords,IPv4 A records,dnsScraper.js,
17,Infrastructure Intel,DNS,mxRecords,Mail exchanger records with priority,dnsScraper.js,
18,Infrastructure Intel,DNS,hasMX,Whether any MX records exist,dnsScraper.js,
19,Infrastructure Intel,IP Geolocation,ip,Primary resolved IPv4 address,ipGeolocationScraper.js,
20,Infrastructure Intel,IP Geolocation,country,Hosting country,ipGeolocationScraper.js,
21,Infrastructure Intel,IP Geolocation,city,Hosting city,ipGeolocationScraper.js,
22,Infrastructure Intel,IP Geolocation,isp,ISP / hosting provider name,ipGeolocationScraper.js,
23,Infrastructure Intel,IP Geolocation,asn,ASN string (e.g. AS8075 Microsoft Corporation),ipGeolocationScraper.js,
24,Infrastructure Intel,IP Geolocation,isBulletproof,Whether ISP matches bulletproof hosting keywords,ipGeolocationScraper.js,
25,Page Capture,Page Capture,htmlPath / full-page HTML,Merged main document + iframe HTML,puppeteerAgent.js,
26,Page Capture,Page Capture,screenshotPath / full-page screenshot,Full-page PNG screenshot of rendered page,puppeteerAgent.js,
27,Page Capture,Page Capture,iframePath,Path to saved iframe JSON artifact,puppeteerAgent.js,
28,Page Capture,Page Capture,finalUrl,Settled URL after load / HTTPS to HTTP fallback,puppeteerAgent.js,
29,Page Capture,Page Capture,iframe.url,Per-iframe source URL,puppeteerAgent.js,
30,Page Capture,Page Capture,iframe.html,Per-iframe document HTML,puppeteerAgent.js,
31,Page Capture,Page Capture,iframe.text,Per-iframe visible body text,puppeteerAgent.js,
32,Page Capture,Page Capture,iframe.htmlLength,Per-iframe HTML size,puppeteerAgent.js,
33,HTML Structure,HTML Meta,meta.title,Page title text,htmlAnalyzer.js,
34,HTML Structure,HTML Meta,meta.description,Meta description content,htmlAnalyzer.js,
35,HTML Structure,HTML Meta,meta.ogTitle,Open Graph title,htmlAnalyzer.js,
36,HTML Structure,HTML Meta,meta.ogSiteName,Open Graph site name,htmlAnalyzer.js,
37,HTML Structure,HTML Meta,meta.ogDescription,Open Graph description,htmlAnalyzer.js,
38,HTML Structure,HTML Meta,meta.icon,Favicon / icon href,htmlAnalyzer.js,
39,HTML Structure,HTML Meta,meta.canonical,Canonical link href,htmlAnalyzer.js,
40,HTML Structure,HTML Content,visibleText,Deduplicated visible text strings,htmlAnalyzer.js,
41,HTML Structure,HTML Images,images.src,Image source URL,htmlAnalyzer.js,
42,HTML Structure,HTML Images,images.alt,Image alt text,htmlAnalyzer.js,
43,HTML Structure,HTML Images,images.kind,Image kind (img/icon/og/srcset/lazy/css_bg/poster/svg_image/object),htmlAnalyzer.js,
44,HTML Structure,HTML Images,images.rel,Image rel attribute,htmlAnalyzer.js,
45,HTML Structure,HTML Images,images.className,Image class name,htmlAnalyzer.js,
46,HTML Structure,HTML Images,images.id,Image element id,htmlAnalyzer.js,
47,HTML Structure,HTML Forms,forms.action,Form action URL,htmlAnalyzer.js,
48,HTML Structure,HTML Forms,forms.method,Form HTTP method,htmlAnalyzer.js,
49,HTML Structure,HTML Forms,forms.inputCount,Number of inputs in form,htmlAnalyzer.js,
50,HTML Structure,HTML Forms,forms.hiddenFields.name,Hidden field name,htmlAnalyzer.js,
51,HTML Structure,HTML Forms,forms.hiddenFields.value,Hidden field value,htmlAnalyzer.js,
52,HTML Structure,HTML Forms,forms.allInputs.type,Input type,htmlAnalyzer.js,
53,HTML Structure,HTML Forms,forms.allInputs.name,Input name,htmlAnalyzer.js,
